mean_rewards,std_rewards,policy_index
683.271484375,628.652587890625,1
777.8505859375,704.92578125,2
750.1611328125,700.96337890625,3
852.6162109375,832.3311157226562,4
693.876953125,669.0602416992188,5
775.1201171875,697.6647338867188,6
775.353515625,700.059814453125,7
734.9375,664.24072265625,8
1006.8837890625,943.0233764648438,9
844.6162109375,866.5259399414062,10
737.060546875,687.0852661132812,11
833.6005859375,769.2600708007812,12
700.4375,657.1446533203125,13
801.81640625,751.29150390625,14
782.8642578125,739.5676879882812,15
758.314453125,690.321533203125,16
861.6708984375,807.3408813476562,17
912.9404296875,875.268798828125,18
851.8857421875,869.9356689453125,19
771.7607421875,759.2254028320312,20
941.435546875,898.1678466796875,21
852.689453125,833.297607421875,22
754.9697265625,707.5639038085938,23
728.080078125,685.9655151367188,24
784.4013671875,724.0794677734375,25
746.408203125,691.0474853515625,26
770.0400390625,695.7820434570312,27
729.2998046875,739.49609375,28
775.419921875,740.7755126953125,29
790.955078125,778.1694946289062,30
830.017578125,793.4496459960938,31
817.255859375,778.3106689453125,32
793.3603515625,754.7391967773438,33
783.4130859375,729.7470092773438,34
660.7763671875,576.7125244140625,35
765.537109375,749.8804321289062,36
903.8544921875,886.1044311523438,37
781.44140625,716.9244995117188,38
783.732421875,702.3876342773438,39
1070.0595703125,1036.4234619140625,40
675.4765625,640.54052734375,41
804.8095703125,754.1155395507812,42
839.904296875,806.7437133789062,43
834.3310546875,766.2610473632812,44
715.25390625,689.6767578125,45
854.505859375,785.5615844726562,46
804.833984375,725.72412109375,47
801.3603515625,780.6874389648438,48
847.822265625,850.7985229492188,49
850.5478515625,817.5015869140625,50
789.7646484375,764.0072021484375,51
819.5849609375,761.0170288085938,52
742.8857421875,687.55224609375,53
762.4384765625,702.753173828125,54
732.7939453125,654.8013916015625,55
694.8232421875,648.794677734375,56
812.306640625,767.8643188476562,57
710.9404296875,669.4608764648438,58
935.6123046875,912.08984375,59
824.4326171875,729.5966186523438,60
861.130859375,811.4609985351562,61
762.84375,741.4818115234375,62
763.98046875,761.087890625,63
806.255859375,746.4984130859375,64
798.08203125,729.1324462890625,65
930.78125,899.3106689453125,66
789.697265625,706.8676147460938,67
845.578125,819.0120239257812,68
817.185546875,761.4362182617188,69
692.431640625,624.3265380859375,70
754.6162109375,730.140869140625,71
887.791015625,890.94873046875,72
761.3486328125,688.8289184570312,73
817.4658203125,825.780517578125,74
660.095703125,600.5530395507812,75
760.6728515625,707.6144409179688,76
778.3466796875,709.1372680664062,77
801.341796875,787.3797607421875,78
918.5966796875,864.3789672851562,79
728.37109375,694.2742309570312,80
828.1181640625,778.2876586914062,81
936.7802734375,936.0682373046875,82
716.2958984375,620.2465209960938,83
817.3896484375,763.0482177734375,84
832.8994140625,771.6160888671875,85
742.7744140625,686.6409912109375,86
677.6513671875,584.835205078125,87
706.40234375,658.217529296875,88
802.65234375,771.4239501953125,89
775.5517578125,708.7263793945312,90
758.0283203125,727.173095703125,91
929.69921875,930.433837890625,92
728.8564453125,690.1304321289062,93
718.6875,729.4293212890625,94
710.7529296875,662.8567504882812,95
760.349609375,712.8837890625,96
741.9248046875,692.601318359375,97
630.353515625,598.6654052734375,98
719.8984375,725.337158203125,99
971.015625,965.0997924804688,100
703.5537109375,694.033935546875,101
851.5732421875,801.2305297851562,102
657.1240234375,610.0789184570312,103
702.427734375,637.1002807617188,104
814.1728515625,741.318359375,105
849.8359375,796.1867065429688,106
847.0205078125,829.3052368164062,107
796.24609375,751.3243408203125,108
780.5107421875,731.548828125,109
826.5849609375,784.32275390625,110
855.376953125,820.3817749023438,111
759.9287109375,681.2363891601562,112
885.3701171875,854.08642578125,113
727.720703125,716.439208984375,114
749.6416015625,711.954833984375,115
774.5986328125,797.1161499023438,116
678.1552734375,616.4216918945312,117
867.6923828125,811.6520385742188,118
810.7890625,796.4002685546875,119
823.025390625,796.8821411132812,120
794.6953125,808.3085327148438,121
668.3984375,640.6318969726562,122
771.416015625,706.7607421875,123
828.513671875,780.0899047851562,124
777.998046875,745.918212890625,125
687.91015625,647.9285278320312,126
889.7294921875,881.243896484375,127
701.4677734375,658.8179321289062,128
751.9619140625,723.6744384765625,129
714.666015625,665.30712890625,130
649.4267578125,591.6128540039062,131
738.2705078125,693.0292358398438,132
746.111328125,652.6920776367188,133
899.115234375,893.6939086914062,134
785.0771484375,756.8271484375,135
830.0849609375,757.1898803710938,136
804.599609375,743.457763671875,137
917.7109375,858.5712890625,138
815.9990234375,770.7196044921875,139
697.27734375,651.3477172851562,140
723.2578125,659.90234375,141
979.958984375,917.0076293945312,142
783.6484375,769.31982421875,143
804.19921875,742.0762939453125,144
689.4130859375,634.3896484375,145
838.6484375,860.0631103515625,146
646.2763671875,617.3364868164062,147
809.3701171875,741.2694091796875,148
662.4931640625,640.4600219726562,149
815.83984375,820.9085693359375,150
939.857421875,928.8944702148438,151
615.0009765625,567.8329467773438,152
744.28125,681.4070434570312,153
798.6630859375,740.5748291015625,154
758.2685546875,696.5224609375,155
762.3916015625,738.6583862304688,156
892.06640625,876.6558227539062,157
666.875,626.765625,158
842.234375,771.0966796875,159
786.2158203125,762.4978637695312,160
783.7734375,747.189697265625,161
862.3935546875,886.6697998046875,162
628.30078125,587.7670288085938,163
839.396484375,807.9828491210938,164
733.4931640625,733.6724243164062,165
1130.79296875,1124.7890625,166
792.875,748.5838012695312,167
881.9716796875,851.8969116210938,168
1000.63671875,979.5826416015625,169
825.3095703125,805.9784545898438,170
771.9013671875,756.3389282226562,171
864.26171875,803.6832275390625,172
787.0791015625,724.4703979492188,173
748.4638671875,727.5448608398438,174
723.259765625,704.8616333007812,175
690.607421875,635.048095703125,176
694.4736328125,672.3551025390625,177
800.271484375,741.1856079101562,178
748.7216796875,711.5324096679688,179
831.646484375,792.2780151367188,180
668.54296875,592.155517578125,181
797.84375,744.7454223632812,182
626.5546875,601.1204833984375,183
879.7197265625,830.705078125,184
916.9716796875,881.3947143554688,185
877.9736328125,881.959716796875,186
825.4541015625,847.2198486328125,187
796.234375,825.1414184570312,188
675.619140625,600.8432006835938,189
927.23046875,906.5139770507812,190
721.3525390625,692.8765258789062,191
853.349609375,822.2012939453125,192
778.900390625,717.310302734375,193
774.3837890625,725.5884399414062,194
644.33984375,611.7415161132812,195
815.87109375,762.7679443359375,196
853.1044921875,805.0747680664062,197
738.37890625,669.91845703125,198
725.0693359375,699.1612548828125,199
743.69921875,747.984619140625,200
-1.0,-1.0,201
-1.0,-1.0,202
-1.0,-1.0,203
-1.0,-1.0,204
-1.0,-1.0,205
-1.0,-1.0,206
-1.0,-1.0,207
-1.0,-1.0,208
-1.0,-1.0,209
-1.0,-1.0,210
-1.0,-1.0,211
-1.0,-1.0,212
-1.0,-1.0,213
-1.0,-1.0,214
-1.0,-1.0,215
-1.0,-1.0,216
-1.0,-1.0,217
-1.0,-1.0,218
-1.0,-1.0,219
-1.0,-1.0,220
-1.0,-1.0,221
-1.0,-1.0,222
-1.0,-1.0,223
-1.0,-1.0,224
-1.0,-1.0,225
-1.0,-1.0,226
-1.0,-1.0,227
-1.0,-1.0,228
-1.0,-1.0,229
-1.0,-1.0,230
-1.0,-1.0,231
-1.0,-1.0,232
-1.0,-1.0,233
-1.0,-1.0,234
-1.0,-1.0,235
-1.0,-1.0,236
-1.0,-1.0,237
-1.0,-1.0,238
-1.0,-1.0,239
-1.0,-1.0,240
-1.0,-1.0,241
-1.0,-1.0,242
-1.0,-1.0,243
-1.0,-1.0,244
-1.0,-1.0,245
-1.0,-1.0,246
-1.0,-1.0,247
-1.0,-1.0,248
-1.0,-1.0,249
-1.0,-1.0,250
-1.0,-1.0,251
-1.0,-1.0,252
-1.0,-1.0,253
-1.0,-1.0,254
-1.0,-1.0,255
-1.0,-1.0,256
-1.0,-1.0,257
-1.0,-1.0,258
-1.0,-1.0,259
-1.0,-1.0,260
-1.0,-1.0,261
-1.0,-1.0,262
-1.0,-1.0,263
-1.0,-1.0,264
-1.0,-1.0,265
-1.0,-1.0,266
-1.0,-1.0,267
-1.0,-1.0,268
-1.0,-1.0,269
-1.0,-1.0,270
-1.0,-1.0,271
-1.0,-1.0,272
-1.0,-1.0,273
-1.0,-1.0,274
-1.0,-1.0,275
-1.0,-1.0,276
-1.0,-1.0,277
-1.0,-1.0,278
-1.0,-1.0,279
-1.0,-1.0,280
-1.0,-1.0,281
-1.0,-1.0,282
-1.0,-1.0,283
-1.0,-1.0,284
-1.0,-1.0,285
-1.0,-1.0,286
-1.0,-1.0,287
-1.0,-1.0,288
-1.0,-1.0,289
-1.0,-1.0,290
-1.0,-1.0,291
-1.0,-1.0,292
-1.0,-1.0,293
-1.0,-1.0,294
-1.0,-1.0,295
-1.0,-1.0,296
-1.0,-1.0,297
-1.0,-1.0,298
-1.0,-1.0,299
-1.0,-1.0,300
-1.0,-1.0,301
-1.0,-1.0,302
-1.0,-1.0,303
-1.0,-1.0,304
-1.0,-1.0,305
-1.0,-1.0,306
-1.0,-1.0,307
-1.0,-1.0,308
-1.0,-1.0,309
-1.0,-1.0,310
-1.0,-1.0,311
-1.0,-1.0,312
-1.0,-1.0,313
-1.0,-1.0,314
-1.0,-1.0,315
-1.0,-1.0,316
-1.0,-1.0,317
-1.0,-1.0,318
-1.0,-1.0,319
-1.0,-1.0,320
-1.0,-1.0,321
-1.0,-1.0,322
-1.0,-1.0,323
-1.0,-1.0,324
-1.0,-1.0,325
-1.0,-1.0,326
-1.0,-1.0,327
-1.0,-1.0,328
-1.0,-1.0,329
-1.0,-1.0,330
-1.0,-1.0,331
-1.0,-1.0,332
-1.0,-1.0,333
-1.0,-1.0,334
-1.0,-1.0,335
-1.0,-1.0,336
-1.0,-1.0,337
-1.0,-1.0,338
-1.0,-1.0,339
-1.0,-1.0,340
-1.0,-1.0,341
-1.0,-1.0,342
-1.0,-1.0,343
-1.0,-1.0,344
-1.0,-1.0,345
-1.0,-1.0,346
-1.0,-1.0,347
-1.0,-1.0,348
-1.0,-1.0,349
-1.0,-1.0,350
-1.0,-1.0,351
-1.0,-1.0,352
-1.0,-1.0,353
-1.0,-1.0,354
-1.0,-1.0,355
-1.0,-1.0,356
-1.0,-1.0,357
-1.0,-1.0,358
-1.0,-1.0,359
-1.0,-1.0,360
-1.0,-1.0,361
-1.0,-1.0,362
-1.0,-1.0,363
-1.0,-1.0,364
-1.0,-1.0,365
-1.0,-1.0,366
-1.0,-1.0,367
-1.0,-1.0,368
-1.0,-1.0,369
-1.0,-1.0,370
-1.0,-1.0,371
-1.0,-1.0,372
-1.0,-1.0,373
-1.0,-1.0,374
-1.0,-1.0,375
-1.0,-1.0,376
-1.0,-1.0,377
-1.0,-1.0,378
-1.0,-1.0,379
-1.0,-1.0,380
-1.0,-1.0,381
-1.0,-1.0,382
-1.0,-1.0,383
-1.0,-1.0,384
-1.0,-1.0,385
-1.0,-1.0,386
-1.0,-1.0,387
-1.0,-1.0,388
-1.0,-1.0,389
-1.0,-1.0,390
-1.0,-1.0,391
-1.0,-1.0,392
-1.0,-1.0,393
-1.0,-1.0,394
-1.0,-1.0,395
-1.0,-1.0,396
-1.0,-1.0,397
-1.0,-1.0,398
-1.0,-1.0,399
-1.0,-1.0,400
-1.0,-1.0,401
-1.0,-1.0,402
-1.0,-1.0,403
-1.0,-1.0,404
-1.0,-1.0,405
-1.0,-1.0,406
-1.0,-1.0,407
-1.0,-1.0,408
-1.0,-1.0,409
-1.0,-1.0,410
-1.0,-1.0,411
-1.0,-1.0,412
-1.0,-1.0,413
-1.0,-1.0,414
-1.0,-1.0,415
-1.0,-1.0,416
-1.0,-1.0,417
-1.0,-1.0,418
-1.0,-1.0,419
-1.0,-1.0,420
-1.0,-1.0,421
-1.0,-1.0,422
-1.0,-1.0,423
-1.0,-1.0,424
-1.0,-1.0,425
-1.0,-1.0,426
-1.0,-1.0,427
-1.0,-1.0,428
-1.0,-1.0,429
-1.0,-1.0,430
-1.0,-1.0,431
-1.0,-1.0,432
-1.0,-1.0,433
-1.0,-1.0,434
-1.0,-1.0,435
-1.0,-1.0,436
-1.0,-1.0,437
-1.0,-1.0,438
-1.0,-1.0,439
-1.0,-1.0,440
-1.0,-1.0,441
-1.0,-1.0,442
-1.0,-1.0,443
-1.0,-1.0,444
-1.0,-1.0,445
-1.0,-1.0,446
-1.0,-1.0,447
-1.0,-1.0,448
-1.0,-1.0,449
-1.0,-1.0,450
-1.0,-1.0,451
-1.0,-1.0,452
-1.0,-1.0,453
-1.0,-1.0,454
-1.0,-1.0,455
-1.0,-1.0,456
-1.0,-1.0,457
-1.0,-1.0,458
-1.0,-1.0,459
-1.0,-1.0,460
-1.0,-1.0,461
-1.0,-1.0,462
-1.0,-1.0,463
-1.0,-1.0,464
-1.0,-1.0,465
-1.0,-1.0,466
-1.0,-1.0,467
-1.0,-1.0,468
-1.0,-1.0,469
-1.0,-1.0,470
-1.0,-1.0,471
-1.0,-1.0,472
-1.0,-1.0,473
-1.0,-1.0,474
-1.0,-1.0,475
-1.0,-1.0,476
-1.0,-1.0,477
-1.0,-1.0,478
-1.0,-1.0,479
-1.0,-1.0,480
-1.0,-1.0,481
-1.0,-1.0,482
-1.0,-1.0,483
-1.0,-1.0,484
-1.0,-1.0,485
-1.0,-1.0,486
-1.0,-1.0,487
-1.0,-1.0,488
-1.0,-1.0,489
-1.0,-1.0,490
-1.0,-1.0,491
-1.0,-1.0,492
-1.0,-1.0,493
-1.0,-1.0,494
-1.0,-1.0,495
-1.0,-1.0,496
-1.0,-1.0,497
-1.0,-1.0,498
-1.0,-1.0,499
-1.0,-1.0,500
