environment,context,relative_performance_increase_mean,relative_performance_increase_std
minatar-asterix,B,1.4783313616843385,0.9208167481219676
minatar-asterix,AD,1.4703257803264225,0.9993286787573257
minatar-asterix,ED,1.4252448952657861,0.9324092614120474
minatar-breakout,B,1.7181660307047648,1.75352706985274
minatar-breakout,AD,1.5275905363148887,1.463718311560904
minatar-breakout,ED,1.6038729429357228,1.5243685945658232
minatar-freeway,B,1.0053161661034682,0.0362911698219916
minatar-freeway,AD,1.0056132160732971,0.03025002358397195
minatar-freeway,ED,1.0056934845937584,0.032467464831951176
minatar-seaquest,B,1.1105604440609185,0.47820441765981764
minatar-seaquest,AD,1.0417152549330595,0.48422166534496436
minatar-seaquest,ED,1.1125482560989097,0.46489110033586933
minatar-space_invaders,B,1.9326120458896234,1.861952206410456
minatar-space_invaders,AD,1.6689463320936546,1.6912097671806485
minatar-space_invaders,ED,1.6047039114559405,1.5257996359026262
