environment,training_setup,policy_id,fraction_action_deviance,fraction_action_deviance_in_most_important_states
minatar-asterix,DWDI,1,0.173476,0.00036
minatar-asterix,SWDI,1,0.18228,0.00312
minatar-asterix,DWSI,1,0.241648,0.059559997
minatar-asterix,DWDI,2,0.183488,0.0011999999
minatar-asterix,SWDI,2,0.2126,0.0022399998
minatar-asterix,DWSI,2,0.200832,0.00124
minatar-asterix,DWDI,3,0.23038,0.06112
minatar-asterix,SWDI,3,0.20238,0.00196
minatar-asterix,DWSI,3,0.1815,0.0008
minatar-asterix,DWDI,4,0.232608,0.00128
minatar-asterix,SWDI,4,0.23552,0.05376
minatar-asterix,DWSI,4,0.251028,0.06048
minatar-asterix,DWDI,5,0.182184,0.06116
minatar-asterix,SWDI,5,0.246736,0.00148
minatar-asterix,DWSI,5,0.174648,0.00087999995
minatar-asterix,DWDI,6,0.200296,0.00096
minatar-asterix,SWDI,6,0.233588,0.0016399999
minatar-asterix,DWSI,6,0.16632,0.00136
minatar-asterix,DWDI,7,0.156268,0.00075999997
minatar-asterix,SWDI,7,0.25984,0.0042399997
minatar-asterix,DWSI,7,0.199476,0.0004
minatar-asterix,DWDI,8,0.211456,0.06116
minatar-asterix,SWDI,8,0.232608,0.00284
minatar-asterix,DWSI,8,0.20832,0.00096
minatar-asterix,DWDI,9,0.17562,0.00091999996
minatar-asterix,SWDI,9,0.233876,0.10504
minatar-asterix,DWSI,9,0.178436,0.0008
minatar-asterix,DWDI,10,0.223756,0.00104
minatar-asterix,SWDI,10,0.201568,0.00144
minatar-asterix,DWSI,10,0.182244,0.0011999999
minatar-asterix,DWDI,11,0.168452,0.0004
minatar-asterix,SWDI,11,0.196704,0.0018399999
minatar-asterix,DWSI,11,0.182012,0.00116
minatar-asterix,DWDI,12,0.183876,0.00104
minatar-asterix,SWDI,12,0.210308,0.0017599999
minatar-asterix,DWSI,12,0.19172,0.00188
minatar-asterix,DWDI,13,0.19284,0.00064
minatar-asterix,SWDI,13,0.21506,0.0026399998
minatar-asterix,DWSI,13,0.193292,0.0017599999
minatar-asterix,DWDI,14,0.202832,0.0004
minatar-asterix,SWDI,14,0.2121,0.04212
minatar-asterix,DWSI,14,0.219308,0.0014
minatar-asterix,DWDI,15,0.23248,0.00087999995
minatar-asterix,SWDI,15,0.234316,0.0029199999
minatar-asterix,DWSI,15,0.193644,0.00091999996
minatar-asterix,DWDI,16,0.189148,0.07372
minatar-asterix,SWDI,16,0.229372,0.00296
minatar-asterix,DWSI,16,0.23638,0.0008
minatar-asterix,DWDI,17,0.202152,0.06084
minatar-asterix,SWDI,17,0.20182,0.00196
minatar-asterix,DWSI,17,0.176408,0.0015199999
minatar-asterix,DWDI,18,0.200772,0.0004
minatar-asterix,SWDI,18,0.184004,0.045679998
minatar-asterix,DWSI,18,0.179712,0.0008
minatar-asterix,DWDI,19,0.188156,0.061079998
minatar-asterix,SWDI,19,0.195148,0.0026
minatar-asterix,DWSI,19,0.213912,0.0014
minatar-asterix,DWDI,20,0.161972,8e-05
minatar-asterix,SWDI,20,0.244252,0.00043999997
minatar-asterix,DWSI,20,0.229228,0.0002
minatar-breakout,DWDI,1,0.305368,0.13703999
minatar-breakout,SWDI,1,0.339388,0.24056
minatar-breakout,DWSI,1,0.22238,0.0058399998
minatar-breakout,DWDI,2,0.295952,0.14924
minatar-breakout,SWDI,2,0.298588,0.12956
minatar-breakout,DWSI,2,0.356152,0.16411999
minatar-breakout,DWDI,3,0.315848,0.18823999
minatar-breakout,SWDI,3,0.212416,0.00108
minatar-breakout,DWSI,3,0.194596,0.01512
minatar-breakout,DWDI,4,0.235788,0.0382
minatar-breakout,SWDI,4,0.301472,0.14212
minatar-breakout,DWSI,4,0.195912,0.01668
minatar-breakout,DWDI,5,0.232544,0.0358
minatar-breakout,SWDI,5,0.201172,0.00472
minatar-breakout,DWSI,5,0.207516,0.00512
minatar-breakout,DWDI,6,0.228256,0.02304
minatar-breakout,SWDI,6,0.252028,0.095759995
minatar-breakout,DWSI,6,0.194768,0.01368
minatar-breakout,DWDI,7,0.337512,0.21159999
minatar-breakout,SWDI,7,0.33192,0.14503999
minatar-breakout,DWSI,7,0.18934,0.0044
minatar-breakout,DWDI,8,0.19358,0.02252
minatar-breakout,SWDI,8,0.213812,0.00628
minatar-breakout,DWSI,8,0.222884,0.03664
minatar-breakout,DWDI,9,0.274676,0.12616
minatar-breakout,SWDI,9,0.297668,0.15023999
minatar-breakout,DWSI,9,0.174352,0.008119999
minatar-breakout,DWDI,10,0.29862,0.13584
minatar-breakout,SWDI,10,0.24116799,0.04688
minatar-breakout,DWSI,10,0.202916,0.02048
minatar-breakout,DWDI,11,0.196992,0.0368
minatar-breakout,SWDI,11,0.18812,0.0032
minatar-breakout,DWSI,11,0.401188,0.2438
minatar-breakout,DWDI,12,0.230556,0.05432
minatar-breakout,SWDI,12,0.209676,0.0242
minatar-breakout,DWSI,12,0.189472,0.00624
minatar-breakout,DWDI,13,0.260676,0.04468
minatar-breakout,SWDI,13,0.23856,0.029399998
minatar-breakout,DWSI,13,0.204828,0.02904
minatar-breakout,DWDI,14,0.210764,0.03768
minatar-breakout,SWDI,14,0.231008,0.007999999
minatar-breakout,DWSI,14,0.234684,0.0021199998
minatar-breakout,DWDI,15,0.29772,0.16815999
minatar-breakout,SWDI,15,0.233124,0.055839997
minatar-breakout,DWSI,15,0.22938,0.02392
minatar-breakout,DWDI,16,0.210896,0.01804
minatar-breakout,SWDI,16,0.343804,0.18372
minatar-breakout,DWSI,16,0.330816,0.07948
minatar-breakout,DWDI,17,0.281156,0.14924
minatar-breakout,SWDI,17,0.293788,0.232
minatar-breakout,DWSI,17,0.223176,0.01604
minatar-breakout,DWDI,18,0.2343,0.02532
minatar-breakout,SWDI,18,0.216284,0.04256
minatar-breakout,DWSI,18,0.201312,0.01668
minatar-breakout,DWDI,19,0.19718,0.02092
minatar-breakout,SWDI,19,0.1984,0.04216
minatar-breakout,DWSI,19,0.197652,0.0186
