environment,setup1,setup2,test,n1,n2,mean1,mean2,median1,median2,std1,std2,statistic,pvalue,significant,effect_size,interpretation
minatar-asterix,DWDI,DWSI,ttest,190,190,0.47123894,0.5097095,0.47814,0.50453997,0.11528159,0.07770686,-3.8142514931735403,0.00015949088405772655,True,-0.3913339376449585,small
minatar-asterix,DWDI,DWSI,mannwhitneyu,190,190,0.47123894,0.5097095,0.47814,0.50453997,0.11528159,0.07770686,14643.5,0.0014656098003622354,True,0.18872576177285316,
minatar-asterix,DWDI,DWSI,kolmogorov_smirnov,190,190,0.47123894,0.5097095,0.47814,0.50453997,0.11528159,0.07770686,0.23157894736842105,7.035880190730154e-05,True,,
minatar-asterix,DWDI,DWSI,welch_ttest,190,190,0.47123894,0.5097095,0.47814,0.50453997,0.11528159,0.07770686,-3.814251493173541,0.0001629101535830986,True,,
minatar-asterix,DWDI,SWDI,ttest,190,190,0.47123894,0.4568183,0.47814,0.45582,0.11528159,0.09743353,1.316904298483577,0.1886685065746664,False,0.13511152565479279,negligible
minatar-asterix,DWDI,SWDI,mannwhitneyu,190,190,0.47123894,0.4568183,0.47814,0.45582,0.11528159,0.09743353,19834.0,0.09573414865863138,False,-0.09883656509695293,
minatar-asterix,DWDI,SWDI,kolmogorov_smirnov,190,190,0.47123894,0.4568183,0.47814,0.45582,0.11528159,0.09743353,0.12105263157894737,0.12359408296099415,False,,
minatar-asterix,DWDI,SWDI,welch_ttest,190,190,0.47123894,0.4568183,0.47814,0.45582,0.11528159,0.09743353,1.316904298483577,0.18869064456762266,False,,
minatar-asterix,DWSI,SWDI,ttest,190,190,0.5097095,0.4568183,0.50453997,0.45582,0.07770686,0.09743353,5.849936393389384,1.0658824896885842e-08,True,0.6001908779144287,medium
minatar-asterix,DWSI,SWDI,mannwhitneyu,190,190,0.5097095,0.4568183,0.50453997,0.45582,0.07770686,0.09743353,24122.5,1.4146060476705673e-08,True,-0.33642659279778386,
minatar-asterix,DWSI,SWDI,kolmogorov_smirnov,190,190,0.5097095,0.4568183,0.50453997,0.45582,0.07770686,0.09743353,0.28421052631578947,3.6412034888932975e-07,True,,
minatar-asterix,DWSI,SWDI,welch_ttest,190,190,0.5097095,0.4568183,0.50453997,0.45582,0.07770686,0.09743353,5.849936393389384,1.1050184285076812e-08,True,,
minatar-breakout,DWDI,DWSI,ttest,190,190,0.41206843,0.4665088,0.38704,0.45922,0.14354943,0.12179261,-3.9861333732258593,8.061236657689896e-05,True,-0.40896865725517273,small
minatar-breakout,DWDI,DWSI,mannwhitneyu,190,190,0.41206843,0.4665088,0.38704,0.45922,0.14354943,0.12179261,13732.0,5.511539619595221e-05,True,0.23922437673130192,
minatar-breakout,DWDI,DWSI,kolmogorov_smirnov,190,190,0.41206843,0.4665088,0.38704,0.45922,0.14354943,0.12179261,0.25263157894736843,9.804662635631825e-06,True,,
minatar-breakout,DWDI,DWSI,welch_ttest,190,190,0.41206843,0.4665088,0.38704,0.45922,0.14354943,0.12179261,-3.9861333732258593,8.099326851285829e-05,True,,
minatar-breakout,DWDI,SWDI,ttest,190,190,0.41206843,0.4239627,0.38704,0.43422,0.14354943,0.15839128,-0.766980732842496,0.4435717348054965,False,-0.07869056612253189,negligible
minatar-breakout,DWDI,SWDI,mannwhitneyu,190,190,0.41206843,0.4239627,0.38704,0.43422,0.14354943,0.15839128,17395.0,0.5409729488021235,False,0.03628808864265931,
minatar-breakout,DWDI,SWDI,kolmogorov_smirnov,190,190,0.41206843,0.4239627,0.38704,0.43422,0.14354943,0.15839128,0.13157894736842105,0.07448081364440523,False,,
minatar-breakout,DWDI,SWDI,welch_ttest,190,190,0.41206843,0.4239627,0.38704,0.43422,0.14354943,0.15839128,-0.766980732842496,0.4435763371661121,False,,
minatar-breakout,DWSI,SWDI,ttest,190,190,0.4665088,0.4239627,0.45922,0.43422,0.12179261,0.15839128,2.935178419691812,0.003537203823021828,True,0.30114296078681946,small
minatar-breakout,DWSI,SWDI,mannwhitneyu,190,190,0.4665088,0.4239627,0.45922,0.43422,0.12179261,0.15839128,20858.5,0.008720013074915094,True,-0.155595567867036,
minatar-breakout,DWSI,SWDI,kolmogorov_smirnov,190,190,0.4665088,0.4239627,0.45922,0.43422,0.12179261,0.15839128,0.25263157894736843,9.804662635631825e-06,True,,
minatar-breakout,DWSI,SWDI,welch_ttest,190,190,0.4665088,0.4239627,0.45922,0.43422,0.12179261,0.15839128,2.935178419691812,0.0035508580371379447,True,,
minatar-freeway,DWDI,DWSI,ttest,190,190,0.4380086,0.48535955,0.44048,0.47438,0.16248468,0.20351166,-2.506294611453747,0.012619619466823174,True,-0.2571403980255127,small
minatar-freeway,DWDI,DWSI,mannwhitneyu,190,190,0.4380086,0.48535955,0.44048,0.47438,0.16248468,0.20351166,15890.5,0.04373364320536,True,0.1196398891966759,
minatar-freeway,DWDI,DWSI,kolmogorov_smirnov,190,190,0.4380086,0.48535955,0.44048,0.47438,0.16248468,0.20351166,0.18947368421052632,0.002131203577429627,True,,
minatar-freeway,DWDI,DWSI,welch_ttest,190,190,0.4380086,0.48535955,0.44048,0.47438,0.16248468,0.20351166,-2.506294611453747,0.01264031002282299,True,,
minatar-freeway,DWDI,SWDI,ttest,190,190,0.4380086,0.43181792,0.44048,0.43706,0.16248468,0.1481457,0.3880829408445073,0.6981731165343401,False,0.0398164726793766,negligible
minatar-freeway,DWDI,SWDI,mannwhitneyu,190,190,0.4380086,0.43181792,0.44048,0.43706,0.16248468,0.1481457,18344.0,0.7839720377021819,False,-0.016288088642659293,
