environment,setup1,setup2,test,n1,n2,mean1,mean2,median1,median2,std1,std2,statistic,pvalue,significant,effect_size,interpretation
Asterix,different-world,different-world-same-init,ttest,190,190,0.22453827,0.34237254,0.21327522,0.34508723,0.05385296,0.029138474,-26.52647719193445,2.56395452129091e-88,True,-2.7215590476989746,large
Asterix,different-world,different-world-same-init,mannwhitneyu,190,190,0.22453827,0.34237254,0.21327522,0.34508723,0.05385296,0.029138474,1400.0,1.5512344522226494e-54,True,0.9224376731301939,
Asterix,different-world,different-world-same-init,kolmogorov_smirnov,190,190,0.22453827,0.34237254,0.21327522,0.34508723,0.05385296,0.029138474,0.8526315789473684,4.025731863523008e-71,True,,
Asterix,different-world,different-world-same-init,welch_ttest,190,190,0.22453827,0.34237254,0.21327522,0.34508723,0.05385296,0.029138474,-26.52647719193445,1.223301714543119e-79,True,,
Asterix,different-world,same-world,ttest,190,190,0.22453827,0.23550998,0.21327522,0.22983402,0.05385296,0.0412433,-2.2295534187882415,0.026363999684261053,True,-0.22874736785888672,small
Asterix,different-world,same-world,mannwhitneyu,190,190,0.22453827,0.23550998,0.21327522,0.22983402,0.05385296,0.0412433,15175.0,0.00725397923376513,True,0.15927977839335183,
Asterix,different-world,same-world,kolmogorov_smirnov,190,190,0.22453827,0.23550998,0.21327522,0.22983402,0.05385296,0.0412433,0.21578947368421053,0.0002745445837482257,True,,
Asterix,different-world,same-world,welch_ttest,190,190,0.22453827,0.23550998,0.21327522,0.22983402,0.05385296,0.0412433,-2.2295534187882415,0.026403991239854308,True,,
Asterix,different-world-same-init,same-world,ttest,190,190,0.34237254,0.23550998,0.34508723,0.22983402,0.029138474,0.0412433,29.169376355129057,8.369861957796458e-99,True,2.9927148818969727,large
Asterix,different-world-same-init,same-world,mannwhitneyu,190,190,0.34237254,0.23550998,0.34508723,0.22983402,0.029138474,0.0412433,35184.0,1.203861105718438e-57,True,-0.9492520775623268,
Asterix,different-world-same-init,same-world,kolmogorov_smirnov,190,190,0.34237254,0.23550998,0.34508723,0.22983402,0.029138474,0.0412433,0.8578947368421053,3.193215075882273e-72,True,,
Asterix,different-world-same-init,same-world,welch_ttest,190,190,0.34237254,0.23550998,0.34508723,0.22983402,0.029138474,0.0412433,29.169376355129057,1.441071520414184e-94,True,,
Breakout,different-world,different-world-same-init,ttest,190,190,0.24360904,0.28391343,0.24455601,0.2883076,0.028518451,0.038796667,-11.53791108024592,1.3691077549524053e-26,True,-1.1837645769119263,large
Breakout,different-world,different-world-same-init,mannwhitneyu,190,190,0.24360904,0.28391343,0.24455601,0.2883076,0.028518451,0.038796667,6938.0,3.096363513108087e-25,True,0.6156232686980609,
Breakout,different-world,different-world-same-init,kolmogorov_smirnov,190,190,0.24360904,0.28391343,0.24455601,0.2883076,0.028518451,0.038796667,0.5526315789473685,5.1081140976813134e-27,True,,
Breakout,different-world,different-world-same-init,welch_ttest,190,190,0.24360904,0.28391343,0.24455601,0.2883076,0.028518451,0.038796667,-11.53791108024592,2.743608201544648e-26,True,,
Breakout,different-world,same-world,ttest,190,190,0.24360904,0.2322002,0.24455601,0.23134601,0.028518451,0.024444273,4.186794256503071,3.523193622141817e-05,True,0.4295560121536255,small
Breakout,different-world,same-world,mannwhitneyu,190,190,0.24360904,0.2322002,0.24455601,0.23134601,0.028518451,0.024444273,23257.0,1.1551430013525506e-06,True,-0.2884764542936289,
Breakout,different-world,same-world,kolmogorov_smirnov,190,190,0.24360904,0.2322002,0.24455601,0.23134601,0.028518451,0.024444273,0.2631578947368421,3.422401591538013e-06,True,,
Breakout,different-world,same-world,welch_ttest,190,190,0.24360904,0.2322002,0.24455601,0.23134601,0.028518451,0.024444273,4.186794256503071,3.540779351778433e-05,True,,
Breakout,different-world-same-init,same-world,ttest,190,190,0.28391343,0.2322002,0.2883076,0.23134601,0.038796667,0.024444273,15.54495296447074,1.763914320187569e-42,True,1.5948784351348877,large
Breakout,different-world-same-init,same-world,mannwhitneyu,190,190,0.28391343,0.2322002,0.2883076,0.23134601,0.038796667,0.024444273,31118.0,2.8937017317702768e-34,True,-0.7239889196675899,
Breakout,different-world-same-init,same-world,kolmogorov_smirnov,190,190,0.28391343,0.2322002,0.2883076,0.23134601,0.038796667,0.024444273,0.6631578947368421,7.1826207466102144e-40,True,,
Breakout,different-world-same-init,same-world,welch_ttest,190,190,0.28391343,0.2322002,0.2883076,0.23134601,0.038796667,0.024444273,15.54495296447074,6.030172165450805e-41,True,,
Freeway,different-world,different-world-same-init,ttest,190,190,0.48930985,0.57213193,0.4889248,0.57315564,0.03317961,0.023611939,-28.033476279817386,2.439110014707717e-94,True,-2.876173973083496,large
Freeway,different-world,different-world-same-init,mannwhitneyu,190,190,0.48930985,0.57213193,0.4889248,0.57315564,0.03317961,0.023611939,854.0,4.7400218317829085e-58,True,0.9526869806094183,
Freeway,different-world,different-world-same-init,kolmogorov_smirnov,190,190,0.48930985,0.57213193,0.4889248,0.57315564,0.03317961,0.023611939,0.8473684210526315,4.886405572276203e-70,True,,
Freeway,different-world,different-world-same-init,welch_ttest,190,190,0.48930985,0.57213193,0.4889248,0.57315564,0.03317961,0.023611939,-28.033476279817386,1.4591116149563982e-90,True,,
Freeway,different-world,same-world,ttest,190,190,0.48930985,0.47304422,0.4889248,0.47142363,0.03317961,0.031304765,4.915013458460108,1.3253804235288597e-06,True,0.5042697191238403,medium
Freeway,different-world,same-world,mannwhitneyu,190,190,0.48930985,0.47304422,0.4889248,0.47142363,0.03317961,0.031304765,23224.0,1.34926200598438e-06,True,-0.2866481994459833,
Freeway,different-world,same-world,kolmogorov_smirnov,190,190,0.48930985,0.47304422,0.4889248,0.47142363,0.03317961,0.031304765,0.24210526315789474,2.6857119299992642e-05,True,,
Freeway,different-world,same-world,welch_ttest,190,190,0.48930985,0.47304422,0.4889248,0.47142363,0.03317961,0.031304765,4.915013458460107,1.3271030048298954e-06,True,,
Freeway,different-world-same-init,same-world,ttest,190,190,0.57213193,0.47304422,0.57315564,0.47142363,0.023611939,0.031304765,34.83271659886414,4.845260005878023e-120,True,3.573761463165283,large
Freeway,different-world-same-init,same-world,mannwhitneyu,190,190,0.57213193,0.47304422,0.57315564,0.47142363,0.023611939,0.031304765,35760.0,1.836790772046196e-61,True,-0.9811634349030471,
Freeway,different-world-same-init,same-world,kolmogorov_smirnov,190,190,0.57213193,0.47304422,0.57315564,0.47142363,0.023611939,0.031304765,0.9157894736842105,1.302380190602493e-85,True,,
Freeway,different-world-same-init,same-world,welch_ttest,190,190,0.57213193,0.47304422,0.57315564,0.47142363,0.023611939,0.031304765,34.83271659886414,5.110241461190281e-116,True,,
Seaquest,different-world,different-world-same-init,ttest,190,190,0.17418548,0.17546965,0.1754252,0.1731184,0.04095735,0.032883137,-0.33700615874674456,0.736299293410924,False,-0.03457610309123993,negligible
Seaquest,different-world,different-world-same-init,mannwhitneyu,190,190,0.17418548,0.17546965,0.1754252,0.1731184,0.04095735,0.032883137,18028.0,0.9839777366869289,False,0.0012188365650969146,
Seaquest,different-world,different-world-same-init,kolmogorov_smirnov,190,190,0.17418548,0.17546965,0.1754252,0.1731184,0.04095735,0.032883137,0.07368421052631578,0.6821828461036871,False,,
Seaquest,different-world,different-world-same-init,welch_ttest,190,190,0.17418548,0.17546965,0.1754252,0.1731184,0.04095735,0.032883137,-0.33700615874674456,0.7363080252854889,False,,
Seaquest,different-world,same-world,ttest,190,190,0.17418548,0.17231144,0.1754252,0.1780056,0.04095735,0.047468256,0.41202119358508094,0.6805574373103289,False,0.04227248206734657,negligible
Seaquest,different-world,same-world,mannwhitneyu,190,190,0.17418548,0.17231144,0.1754252,0.1780056,0.04095735,0.047468256,17989.0,0.9549350524312267,False,0.0033795013850415057,
Seaquest,different-world,same-world,kolmogorov_smirnov,190,190,0.17418548,0.17231144,0.1754252,0.1780056,0.04095735,0.047468256,0.12105263157894737,0.12359408296099415,False,,
Seaquest,different-world,same-world,welch_ttest,190,190,0.17418548,0.17231144,0.1754252,0.1780056,0.04095735,0.047468256,0.41202119358508094,0.6805624456824917,False,,
Seaquest,different-world-same-init,same-world,ttest,190,190,0.17546965,0.17231144,0.1731184,0.1780056,0.032883137,0.047468256,0.7538767389522155,0.4513925753175245,False,0.07734611630439758,negligible
Seaquest,different-world-same-init,same-world,mannwhitneyu,190,190,0.17546965,0.17231144,0.1731184,0.1780056,0.032883137,0.047468256,17994.0,0.9586559428818774,False,0.0031024930747922674,
Seaquest,different-world-same-init,same-world,kolmogorov_smirnov,190,190,0.17546965,0.17231144,0.1731184,0.1780056,0.032883137,0.047468256,0.15263157894736842,0.02378373713227339,True,,
Seaquest,different-world-same-init,same-world,welch_ttest,190,190,0.17546965,0.17231144,0.1731184,0.1780056,0.032883137,0.047468256,0.7538767389522155,0.4514505128562042,False,,
Space Invaders,different-world,different-world-same-init,ttest,190,190,0.23945946,0.28243282,0.2407324,0.2915988,0.06084326,0.05639675,-7.140082723218624,4.814199728731107e-12,True,-0.7325570583343506,medium
Space Invaders,different-world,different-world-same-init,mannwhitneyu,190,190,0.23945946,0.28243282,0.2407324,0.2915988,0.06084326,0.05639675,10995.0,4.4183773079721926e-11,True,0.39085872576177283,
Space Invaders,different-world,different-world-same-init,kolmogorov_smirnov,190,190,0.23945946,0.28243282,0.2407324,0.2915988,0.06084326,0.05639675,0.3105263157894737,1.710798358731149e-08,True,,
Space Invaders,different-world,different-world-same-init,welch_ttest,190,190,0.23945946,0.28243282,0.2407324,0.2915988,0.06084326,0.05639675,-7.140082723218624,4.856058500789214e-12,True,,
Space Invaders,different-world,same-world,ttest,190,190,0.23945946,0.22438045,0.2407324,0.22114441,0.06084326,0.06596935,2.316048168599522,0.021089963092222344,True,0.2376215159893036,small
Space Invaders,different-world,same-world,mannwhitneyu,190,190,0.23945946,0.22438045,0.2407324,0.22114441,0.06084326,0.06596935,20772.0,0.011020665080708083,True,-0.15080332409972308,
Space Invaders,different-world,same-world,kolmogorov_smirnov,190,190,0.23945946,0.22438045,0.2407324,0.22114441,0.06084326,0.06596935,0.16842105263157894,0.009025176639829047,True,,
Space Invaders,different-world,same-world,welch_ttest,190,190,0.23945946,0.22438045,0.2407324,0.22114441,0.06084326,0.06596935,2.316048168599522,0.02109345783448633,True,,
Space Invaders,different-world-same-init,same-world,ttest,190,190,0.28243282,0.22438045,0.2915988,0.22114441,0.05639675,0.06596935,9.21989229997247,2.1185476431496953e-18,True,0.9459410309791565,large
Space Invaders,different-world-same-init,same-world,mannwhitneyu,190,190,0.28243282,0.22438045,0.2915988,0.22114441,0.05639675,0.06596935,27189.5,1.385042474098999e-17,True,-0.506343490304709,
Space Invaders,different-world-same-init,same-world,kolmogorov_smirnov,190,190,0.28243282,0.22438045,0.2915988,0.22114441,0.05639675,0.06596935,0.42105263157894735,1.7712503615801896e-15,True,,
Space Invaders,different-world-same-init,same-world,welch_ttest,190,190,0.28243282,0.22438045,0.2915988,0.22114441,0.05639675,0.06596935,9.21989229997247,2.3178705063937727e-18,True,,
