environment,world,avg_acc_rewards
minatar-asterix,different,72.2421875
minatar-asterix,different,72.310546875
minatar-asterix,different,72.3232421875
minatar-asterix,different,72.51953125
minatar-asterix,different,72.560546875
minatar-asterix,different,72.591796875
minatar-asterix,different,72.65625
minatar-asterix,different,72.6591796875
minatar-asterix,different,73.005859375
minatar-asterix,different,73.0302734375
minatar-asterix,different,73.0380859375
minatar-asterix,different,73.173828125
minatar-asterix,different,73.21484375
minatar-asterix,different,73.34375
minatar-asterix,different,74.521484375
minatar-asterix,different,74.8427734375
minatar-asterix,different,74.9501953125
minatar-asterix,different,75.6376953125
minatar-asterix,different,76.5029296875
minatar-asterix,different,77.0888671875
minatar-asterix,same,72.2207
minatar-asterix,same,72.30664
minatar-asterix,same,72.33008
minatar-asterix,same,72.53418
minatar-asterix,same,72.59277
minatar-asterix,same,72.59961
minatar-asterix,same,72.637695
minatar-asterix,same,72.62695
minatar-asterix,same,73.00586
minatar-asterix,same,73.04785
minatar-asterix,same,73.00586
minatar-asterix,same,73.18945
minatar-asterix,same,73.23926
minatar-asterix,same,73.37988
minatar-asterix,same,74.33008
minatar-asterix,same,74.91504
minatar-asterix,same,74.33008
minatar-asterix,same,75.75879
minatar-asterix,same,76.30371
minatar-asterix,same,77.48535
minatar-breakout,different,602.87109375
minatar-breakout,different,603.177734375
minatar-breakout,different,603.607421875
minatar-breakout,different,605.193359375
minatar-breakout,different,606.4619140625
minatar-breakout,different,610.8857421875
minatar-breakout,different,611.205078125
minatar-breakout,different,611.2392578125
minatar-breakout,different,612.1142578125
minatar-breakout,different,613.3935546875
minatar-breakout,different,613.7490234375
minatar-breakout,different,615.328125
minatar-breakout,different,629.296875
minatar-breakout,different,629.3466796875
minatar-breakout,different,630.5498046875
minatar-breakout,different,635.4775390625
minatar-breakout,different,638.1376953125
minatar-breakout,different,648.4404296875
minatar-breakout,different,662.3828125
minatar-breakout,different,732.7216796875
minatar-breakout,same,604.7539
minatar-breakout,same,605.21094
minatar-breakout,same,605.21094
minatar-breakout,same,604.7539
minatar-breakout,same,606.4072
minatar-breakout,same,608.7246
minatar-breakout,same,606.4072
minatar-breakout,same,606.4072
minatar-breakout,same,616.91406
minatar-breakout,same,616.9531
minatar-breakout,same,616.9531
minatar-breakout,same,616.9531
minatar-breakout,same,626.5625
